park,name,geom,wkt
http://gnis-ld.org/lod/gnis/feature/1872068,Peabody Stadium,http://gnis-ld.org/geometry/point/gnisf.1872068,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6962458 34.4288859)
http://gnis-ld.org/lod/gnis/feature/246801,Ocean Beach Park,http://gnis-ld.org/geometry/point/gnisf.246801,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.6018362 34.6897045)
http://gnis-ld.org/lod/gnis/feature/271114,Federated Sportsmans Field,http://gnis-ld.org/geometry/point/gnisf.271114,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7695833 34.4516639)
http://gnis-ld.org/lod/gnis/feature/1702898,Stow Grove Park,http://gnis-ld.org/geometry/point/gnisf.1702898,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8459727 34.4488844)
http://gnis-ld.org/lod/gnis/feature/1702890,Palm Park,http://gnis-ld.org/geometry/point/gnisf.1702890,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6856892 34.413886)
http://gnis-ld.org/lod/gnis/feature/1871544,Miramonte Park North,http://gnis-ld.org/geometry/point/gnisf.1871544,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4304409 34.909701)
http://gnis-ld.org/lod/gnis/feature/1872130,Monte Vista Park,http://gnis-ld.org/geometry/point/gnisf.1872130,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.4953994 34.3919393)
http://gnis-ld.org/lod/gnis/feature/238467,Alameda Plaza,http://gnis-ld.org/geometry/point/gnisf.238467,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7051353 34.4280528)
http://gnis-ld.org/lod/gnis/feature/1828935,El Presidio de Santa Barbara State Historic Park,http://gnis-ld.org/geometry/point/gnisf.1828935,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7148584 34.4388861)
http://gnis-ld.org/lod/gnis/feature/1702883,Lake Los Carneros Park,http://gnis-ld.org/geometry/point/gnisf.1702883,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8490281 34.4416623)
http://gnis-ld.org/lod/gnis/feature/1871630,Central Plaza Park,http://gnis-ld.org/geometry/point/gnisf.1871630,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4348858 34.9535892)
http://gnis-ld.org/lod/gnis/feature/1871973,Willow Glen Park,http://gnis-ld.org/geometry/point/gnisf.1871973,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7443049 34.4499975)
http://gnis-ld.org/lod/gnis/feature/1871555,Adam Park,http://gnis-ld.org/geometry/point/gnisf.1871555,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.442386 34.935534)
http://gnis-ld.org/lod/gnis/feature/271155,Fleischmann Field,http://gnis-ld.org/geometry/point/gnisf.271155,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.5620706 34.4199951)
http://gnis-ld.org/lod/gnis/feature/1871744,Westvale Park,http://gnis-ld.org/geometry/point/gnisf.1871744,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4743306 34.6316501)
http://gnis-ld.org/lod/gnis/feature/1702884,Lookout County Park,http://gnis-ld.org/geometry/point/gnisf.1702884,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6020731 34.4202735)
http://gnis-ld.org/lod/gnis/feature/238614,Andree Clark Bird Refuge,http://gnis-ld.org/geometry/point/gnisf.238614,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6598545 34.4211077)
http://gnis-ld.org/lod/gnis/feature/238743,Arroyo Burro Beach County Park,http://gnis-ld.org/geometry/point/gnisf.238743,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.743748 34.4030537)
http://gnis-ld.org/lod/gnis/feature/241690,Dwight Murphy Park,http://gnis-ld.org/geometry/point/gnisf.241690,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6692994 34.4186079)
http://gnis-ld.org/lod/gnis/feature/241880,El Capitán State Beach,http://gnis-ld.org/geometry/point/gnisf.241880,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.0195859 34.4613805)
http://gnis-ld.org/lod/gnis/feature/242428,Franceschi Park,http://gnis-ld.org/geometry/point/gnisf.242428,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6948571 34.4394413)
http://gnis-ld.org/lod/gnis/feature/243479,Hillside Park,http://gnis-ld.org/geometry/point/gnisf.243479,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7040244 34.4377748)
http://gnis-ld.org/lod/gnis/feature/244451,La Purisima Mission State Historic Park,http://gnis-ld.org/geometry/point/gnisf.244451,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4234952 34.6791496)
http://gnis-ld.org/lod/gnis/feature/244689,Le Roy Park,http://gnis-ld.org/geometry/point/gnisf.244689,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.5726698 34.974144)
http://gnis-ld.org/lod/gnis/feature/245447,Manning Park,http://gnis-ld.org/geometry/point/gnisf.245447,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6331865 34.4347181)
http://gnis-ld.org/lod/gnis/feature/245896,Miguelito County Park,http://gnis-ld.org/geometry/point/gnisf.245896,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4698858 34.592484)
http://gnis-ld.org/lod/gnis/feature/246576,Nojoqui Falls Park,http://gnis-ld.org/geometry/point/gnisf.246576,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.1757044 34.530266)
http://gnis-ld.org/lod/gnis/feature/246746,Oak Park,http://gnis-ld.org/geometry/point/gnisf.246746,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7270811 34.4294419)
http://gnis-ld.org/lod/gnis/feature/247227,Paradise County Park,http://gnis-ld.org/geometry/point/gnisf.247227,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8112511 34.5419381)
http://gnis-ld.org/lod/gnis/feature/247646,Point Sal State Beach,http://gnis-ld.org/geometry/point/gnisf.247646,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.6479503 34.9013671)
http://gnis-ld.org/lod/gnis/feature/248313,Rocky Nook Park,http://gnis-ld.org/geometry/point/gnisf.248313,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7109693 34.4427749)
http://gnis-ld.org/lod/gnis/feature/249115,Santa Rosa Park,http://gnis-ld.org/geometry/point/gnisf.249115,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.3037666 34.6058184)
http://gnis-ld.org/lod/gnis/feature/250011,Suey Park,http://gnis-ld.org/geometry/point/gnisf.250011,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.40794 34.9663668)
http://gnis-ld.org/lod/gnis/feature/251142,Waller Park,http://gnis-ld.org/geometry/point/gnisf.251142,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4404413 34.9030346)
http://gnis-ld.org/lod/gnis/feature/269412,Jalama Beach County Park,http://gnis-ld.org/geometry/point/gnisf.269412,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.5004424 34.5108183)
http://gnis-ld.org/lod/gnis/feature/270128,Lake Cachuma County Park,http://gnis-ld.org/geometry/point/gnisf.270128,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.9579193 34.5761006)
http://gnis-ld.org/lod/gnis/feature/270132,Lake Cachuma Recreation Area,http://gnis-ld.org/geometry/point/gnisf.270132,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.9173632 34.5744347)
http://gnis-ld.org/lod/gnis/feature/270313,Carpinteria State Beach,http://gnis-ld.org/geometry/point/gnisf.270313,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.5212343 34.3919395)
http://gnis-ld.org/lod/gnis/feature/271222,Fremont Foxon Historical Marker,http://gnis-ld.org/geometry/point/gnisf.271222,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.2262614 34.4877665)
http://gnis-ld.org/lod/gnis/feature/271224,Fremont-Foxen Monument,http://gnis-ld.org/geometry/point/gnisf.271224,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.2173754 34.8149809)
http://gnis-ld.org/lod/gnis/feature/271286,Gaviota State Park,http://gnis-ld.org/geometry/point/gnisf.271286,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.2282055 34.4722112)
http://gnis-ld.org/lod/gnis/feature/271343,Goleta Beach County Park,http://gnis-ld.org/geometry/point/gnisf.271343,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8295828 34.4172186)
http://gnis-ld.org/lod/gnis/feature/273278,Richardson Park,http://gnis-ld.org/geometry/point/gnisf.273278,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.682353 34.944699)
http://gnis-ld.org/lod/gnis/feature/273725,Sisquoc Condor Sanctuary,http://gnis-ld.org/geometry/point/gnisf.273725,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7343011 34.7394295)
http://gnis-ld.org/lod/gnis/feature/274206,Tuckers Grove County Park,http://gnis-ld.org/geometry/point/gnisf.274206,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7898613 34.4524967)
http://gnis-ld.org/lod/gnis/feature/275554,Rosario Park,http://gnis-ld.org/geometry/point/gnisf.275554,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8315294 34.5188831)
http://gnis-ld.org/lod/gnis/feature/1871747,Arthur Ferrini Park,http://gnis-ld.org/geometry/point/gnisf.1871747,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.2801559 34.7447042)
http://gnis-ld.org/lod/gnis/feature/1871706,Ken Adam Park,http://gnis-ld.org/geometry/point/gnisf.1871706,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4601636 34.6819271)
http://gnis-ld.org/lod/gnis/feature/1702874,Childrens Park,http://gnis-ld.org/geometry/point/gnisf.1702874,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8618052 34.4149958)
http://gnis-ld.org/lod/gnis/feature/1872090,Storke Plaza,http://gnis-ld.org/geometry/point/gnisf.1872090,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6981901 34.4188861)
http://gnis-ld.org/lod/gnis/feature/1872046,Gould Park,http://gnis-ld.org/geometry/point/gnisf.1872046,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6531882 34.4549959)
http://gnis-ld.org/lod/gnis/feature/1871697,College Park,http://gnis-ld.org/geometry/point/gnisf.1871697,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4607189 34.647761)
http://gnis-ld.org/lod/gnis/feature/1871558,Armstrong Park,http://gnis-ld.org/geometry/point/gnisf.1871558,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4209962 34.9555337)
http://gnis-ld.org/lod/gnis/feature/1872071,Rattlesnake Canyon Park,http://gnis-ld.org/geometry/point/gnisf.1872071,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6870796 34.4672185)
http://gnis-ld.org/lod/gnis/feature/1702876,Del Playa Park,http://gnis-ld.org/geometry/point/gnisf.1702876,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8659717 34.4091626)
http://gnis-ld.org/lod/gnis/feature/1871617,Simas Park,http://gnis-ld.org/geometry/point/gnisf.1871617,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4321078 34.9469226)
http://gnis-ld.org/lod/gnis/feature/1872081,Santa Barbara Municipal Tennis Court,http://gnis-ld.org/geometry/point/gnisf.1872081,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6640215 34.4227744)
http://gnis-ld.org/lod/gnis/feature/1871619,Tunnell Park,http://gnis-ld.org/geometry/point/gnisf.1871619,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4140515 34.9630335)
http://gnis-ld.org/lod/gnis/feature/1871934,Las Positas Park,http://gnis-ld.org/geometry/point/gnisf.1871934,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7362479 34.4138868)
http://gnis-ld.org/lod/gnis/feature/1702875,Coal Oil Point Reserve,http://gnis-ld.org/geometry/point/gnisf.1702875,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8781941 34.4113845)
http://gnis-ld.org/lod/gnis/feature/1871918,Escondido Park,http://gnis-ld.org/geometry/point/gnisf.1871918,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7281917 34.4113867)
http://gnis-ld.org/lod/gnis/feature/1872048,Hale Park,http://gnis-ld.org/geometry/point/gnisf.1872048,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.658188 34.4352741)
http://gnis-ld.org/lod/gnis/feature/1872087,Skofield Park,http://gnis-ld.org/geometry/point/gnisf.1872087,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.6937464 34.456941)
http://gnis-ld.org/lod/gnis/feature/1871924,Harding Recreation Center,http://gnis-ld.org/geometry/point/gnisf.1871924,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7206914 34.416942)
http://gnis-ld.org/lod/gnis/feature/1871945,Mission Historical Park,http://gnis-ld.org/geometry/point/gnisf.1871945,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7115248 34.4383304)
http://gnis-ld.org/lod/gnis/feature/1702899,Sueno Park,http://gnis-ld.org/geometry/point/gnisf.1702899,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.8604162 34.4127737)
http://gnis-ld.org/lod/gnis/feature/1872056,Louise Lowry Davis Recreation Center,http://gnis-ld.org/geometry/point/gnisf.1872056,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7076353 34.4222195)
http://gnis-ld.org/lod/gnis/feature/1871757,Chumash Painted Cave State Historic Park,http://gnis-ld.org/geometry/point/gnisf.1871757,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.7868069 34.5041626)
http://gnis-ld.org/lod/gnis/feature/1871540,James Hagerman Softball Complex,http://gnis-ld.org/geometry/point/gnisf.1871540,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4429415 34.9041456)
http://gnis-ld.org/lod/gnis/feature/1871791,Manville Park,http://gnis-ld.org/geometry/point/gnisf.1871791,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-120.4501629 34.6427612)
http://gnis-ld.org/lod/gnis/feature/1872100,Carpinteria Community Swimming Pool,http://gnis-ld.org/geometry/point/gnisf.1872100,<http://www.opengis.net/def/crs/OGC/1.3/CRS84>POINT(-119.5140117 34.3944394)
